ProvID,Culture,Religion,TradeGoods,Citizens,Freedmen,lower_strata,middle_strata,proletariat,Slaves,Tribesmen,upper_strata,Civilization,Barbarian,NameRef,AraRef
1,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov1,noregion
2,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov2,noregion
3,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov3,noregion
4,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov4,noregion
5,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov5,noregion
6,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov6,noregion
7,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov7,noregion
8,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov8,noregion
9,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov9,noregion
10,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov10,noregion
11,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov11,noregion
12,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov12,noregion
13,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov13,noregion
14,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov14,noregion
15,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov15,noregion
16,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov16,noregion
17,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov17,noregion
18,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov18,noregion
19,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov19,noregion
20,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov20,noregion
21,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov21,noregion
22,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov22,noregion
23,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov23,noregion
24,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov24,noregion
25,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov25,noregion
26,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov26,noregion
27,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov27,noregion
28,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov28,noregion
29,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov29,noregion
30,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov30,noregion
31,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov31,noregion
32,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov32,noregion
33,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov33,noregion
34,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov34,noregion
35,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov35,noregion
36,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov36,noregion
37,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov37,noregion
38,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov38,noregion
39,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov39,noregion
40,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov40,noregion
41,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov41,noregion
42,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov42,noregion
43,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov43,noregion
44,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov44,noregion
45,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov45,noregion
46,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov46,noregion
47,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov47,noregion
48,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov48,noregion
49,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov49,noregion
50,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov50,noregion
51,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov51,noregion
