PROVID;CULTURE;Religion;TRADEGOOD;unused;indentured;lower_strata;middle_strata;proletariat;slaves;tribesmen;upper_strata;INDUSTRIALISATION;PROVINCE_RANK;NAME;AREA;TERRAIN;;;LITERACY;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type 2;Extra pop culture 2;Extra pop religion 2;Extra pop size 2;Extra pop type 3;Extra pop culture 3;Extra pop religion 3;Extra pop size 3;Extra pop type 4;Extra pop culture 4;Extra pop religion 4;Extra pop size 4;Extra pop type 5;Extra pop culture 5;Extra pop religion 5;Extra pop size 5;Extra pop type 6;Extra pop culture 6;Extra pop religion 6;Extra pop size 6;Extra pop type 7;Extra pop culture 7;Extra pop religion 7;Extra pop size 7
1;;;;0;0;0;0;0;0;0;0;0;0;PROV1;spare_state;coastal_terrain;spare_state;spare_state;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;;0;0;0;0;0;0;0;0;0;0;Turkana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;baloch;sunni;livestock;0;0;0;0;0;0;2;0;0;0;Bampur;Balochistan;desert;patched_state;Balochistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;guarani;pagelanca;livestock;0;0;1;0;0;0;1;0;0;0;Fuerte de los Sunchales;Santa Fe;plains;patched_state;Santa Fe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;persian;shiite;cloth;0;0;10;0;0;0;3;0;8;0;Zaviyeh;Irakadjemi;desert;patched_state;Irakadjemi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;telugu;hindu;grain;0;0;115;14;5;0;29;0;5;0;Raichur;Visiapour;farmland;patched_state;Visiapour;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;sibir;sunni;cloth;0;0;0;0;0;0;1;0;0;0;Ereymentau;Semipalatinsk;semi_arid;patched_state;Semipalatinsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;russian;orthodox;grain;0;0;4;1;0;0;0;0;7;0;Remda;Sankt-Petersburg;forest;patched_state;Sankt-Petersburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;polish;catholic;livestock;0;3;1;1;0;0;0;1;10;1;Grodno;Grodno;plains;patched_state;Grodno;;lower_strata;ashkenazi;jewish;4;indentured;lithuanian;catholic;2;indentured;belarusian;orthodox;2;;;;;;;;;;;;;;;;
10;swedish;reformed;wood;0;0;1;0;0;0;0;0;10;0;Idre;state_558;;patched_state;state_558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;tatar;sunni;wood;0;0;2;0;0;0;0;0;0;0;Almetievsk;Kazan;forest;patched_state;Kazan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;norwegian;lutheran;wood;0;0;0;0;0;0;0;0;10;0;Dombås;Aggerhuus;;patched_state;Aggerhuus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;amur;siberian_shamanism;wood;0;0;0;0;0;0;1;0;0;0;Botchinsky;Primorsk;low_mountain;patched_state;Primorsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;eastern_german;orthodox;cloth;0;0;1;0;0;0;0;0;10;0;Strajny  Kut;Samara;semi_arid;patched_state;Samara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;estonian;lutheran;grain;0;1;1;0;0;0;0;0;7;0;Elwa;Livland;plains;patched_state;Livland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;north_italian;catholic;mediterranean_fruit;0;0;20;3;2;0;0;0;20;0;Mantua;Lombardy;plains;patched_state;Lombardy;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;czech;catholic;cloth;0;0;23;5;0;0;0;0;20;0;Hohenmauth;Böhmen;;patched_state;Böhmen;;lower_strata;austrian;catholic;2;;;;;;;;;;;;;;;;;;;;;;;;
18;polish;catholic;wood;0;0;5;1;1;0;0;2;10;1;Augustów;Augustowskie;forest;patched_state;Augustowskie;;lower_strata;lithuanian;lutheran;3;proletariat;lithuanian;catholic;1;upper_strata;lithuanian;catholic;1;;;;;;;;;;;;;;;;
19;north_italian;catholic;temperate_fruit;0;0;18;3;3;0;0;1;20;0;Chieri;Piemonte;forest;patched_state;Piemonte;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;czech;catholic;cloth;0;0;24;4;0;0;0;0;20;0;Neuhaus;Böhmen;;patched_state;Böhmen;;lower_strata;austrian;catholic;2;;;;;;;;;;;;;;;;;;;;;;;;
21;libyan;sunni;fish;0;0;6;0;0;0;0;0;3;0;Marj;Cyrenaica;semi_arid;patched_state;Cyrenaica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;chuvash;sunni;wood;0;0;1;0;0;0;0;0;0;0;Nurlat;Kazan;forest;patched_state;Kazan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;manchu;siberian_shamanism;wood;0;0;1;0;0;0;1;0;0;0;Arseniev;Guanwai;plains;patched_state;Guanwai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;khakas;sunni;wood;0;0;1;0;0;0;0;0;0;0;Uvatsky;Tyumen;boreal_forest;patched_state;Tyumen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;kachin;theravada;cloth;0;0;0;0;0;0;0;0;0;0;Myitkyina;Burma;hills;patched_state;Burma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;kazakh;sunni;livestock;0;0;0;0;0;0;2;0;0;0;Chilgir;Astrakhan;semi_arid;patched_state;Astrakhan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;russian;orthodox;cloth;0;3;8;2;3;0;0;1;7;1;Saratov;Saratov;farmland;patched_state;Saratov;;middle_strata;eastern_german;lutheran;1;lower_strata;eastern_german;lutheran;2;lower_strata;eastern_german;catholic;1;;;;;;;;;;;;;;;;
28;korean;daoism;grain;0;0;33;0;0;0;0;0;0;0;Huicheon;Bukhan;low_mountain;patched_state;Bukhan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;north_italian;catholic;silk;0;0;20;10;13;0;0;0;20;0;Brescia;Lombardy;farmland;patched_state;Lombardy;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;burmese;theravada;cloth;0;0;20;0;0;0;0;1;8;0;Akyab;Arakan;;patched_state;Arakan;;tribesmen;burmese;thagyaminist;4;lower_strata;burmese;thagyaminist;4;slaves;rohingya;sunni;15;;;;;;;;;;;;;;;;
31;korean;daoism;grain;0;0;36;0;0;0;0;0;0;0;Kopeung;Bukhan;low_mountain;patched_state;Bukhan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;gondi;hindu;textile_fibres;0;0;126;14;4;0;21;1;0;0;Nanded;Amednagur;farmland;patched_state;Amednagur;;lower_strata;urdu;sunni;20;;;;;;;;;;;;;;;;;;;;;;;;
33;savoyard;catholic;gold;0;0;5;0;0;0;0;0;15;0;Valgrisanche;Savoy;extreme_mountain;patched_state;Savoy;17;upper_strata;north_italian;catholic;1;;;;;;;;;;;;;;;;;;;;;;;;
34;melanesian;mana;hardwood;0;0;0;0;0;0;1;0;0;0;Lumu;Salomon_Islands;dense_jungle;patched_state;Salomon_Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;libyan;sunni;inorganic_compounds;0;0;10;0;0;0;3;0;3;0;Khoms;Tripolitania;desert;patched_state;Tripolitania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;tutchone;waashat;wood;0;0;0;0;0;0;1;0;0;0;Anahim Lake;British_Columbia;forest;patched_state;British_Columbia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;japanese;shinto;livestock;0;0;34;2;0;0;0;2;10;0;Shobara;Chugoku;hills;patched_state;Chugoku;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;manchu;siberian_shamanism;wood;0;0;1;0;0;0;1;0;0;0;Ussuriisk;Guanwai;hills;patched_state;Guanwai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;manchu;siberian_shamanism;wood;0;0;2;0;0;0;5;0;0;0;Ziqiang;Heilongjiang;plains;patched_state;Heilongjiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;burmese;theravada;cloth;0;0;29;2;0;0;12;1;8;0;Shwegyin;Pegu;;patched_state;Pegu;;tribesmen;moken;austronesian;2;;;;;;;;;;;;;;;;;;;;;;;;
41;georgian;orthodox;mediterranean_fruit;0;0;7;1;0;0;0;1;5;0;Poti;Kutaisi;plains;patched_state;Kutaisi;;lower_strata;abgazi;sunni;1;lower_strata;laz;orthodox;2;middle_strata;pontic;orthodox;1;;;;;;;;;;;;;;;;
42;dolgan;tengri;wood;0;0;0;0;0;0;0;0;0;0;Svetlogorsk;Krasnoyarsk;tundra;patched_state;Krasnoyarsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;manchu;siberian_shamanism;wood;0;0;8;0;0;0;0;0;0;0;Qiqihar;Heilongjiang;plains;patched_state;Heilongjiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;shilluk;kenyan;cloth;0;0;3;0;0;3;5;0;0;0;PROV44;Sudan;;patched_state;Sudan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;oriya;hindu;grain;0;0;51;5;5;0;27;0;0;0;Puri;Orissa;farmland;patched_state;Orissa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;shoshone;waashat;cloth;0;0;0;0;0;0;0;0;0;0;Thayne;Wyoming;low_mountain;patched_state;Wyoming;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;latin_caribbean;catholic;tropical_fruit;0;0;4;1;0;0;0;1;15;1;Santo Domingo;Dominicana;farmland;patched_state;Dominicana;16;slaves;zambo;catholic;2;upper_strata;castilian;catholic;1;lower_strata;mulato;catholic;2;;;;;;;;;;;;;;;;
48;minor_aboriginal;mythic;mediterranean_fruit;0;0;0;0;0;0;0;0;0;0;Port Pirie;South_Australia;plains;patched_state;South_Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;bengali;sunni;grain;0;0;134;0;0;0;134;0;8;0;Pakur;Bengal;farmland;patched_state;Bengal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;papuan;mythic;gold;0;0;0;0;0;0;1;0;0;0;Wau;Papua New Guinea;dense_jungle;patched_state;Papua New Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;shangjiang;daoism;grain;0;0;301;0;0;0;0;0;10;0;Daba Mountains;Chongqing;extreme_mountains;patched_state;Chongqing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;amur;siberian_shamanism;wood;0;0;0;0;0;0;0;0;0;0;Tahtoyamsk;Magadan;boreal_forest;patched_state;Magadan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;japanese;mahayana;grain;0;0;34;2;0;0;0;4;10;0;Masudo;Chugoku;forest;patched_state;Chugoku;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;minor_aboriginal;mythic;livestock;0;0;0;0;0;0;0;0;0;0;the Outback;Northern_Territory;extreme_desert;patched_state;Northern_Territory;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;beihua;mahayana;tobacco;0;0;120;5;0;0;0;5;10;0;Min;Gansu;hills;patched_state;Gansu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;dolgan;sunni;wood;0;0;0;0;0;0;0;0;0;0;Vorogovo;Krasnoyarsk;boreal_forest;patched_state;Krasnoyarsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;hausa;hausa;cloth;0;0;3;0;0;2;24;0;0;0;Maiduguri;Nigeria;semi_arid;patched_state;Nigeria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;colombian;catholic;sugar;0;0;10;0;0;0;0;0;7;0;Buchivacoa;Zulia;hills;patched_state;Zulia;;slaves;zambo;catholic;3;;;;;;;;;;;;;;;;;;;;;;;;
59;ute;waashat;salt;0;0;0;0;0;0;0;0;0;0;Salt Lake City;Utah;hills;patched_state;Utah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;minor_aboriginal;mythic;wool;0;0;0;0;0;0;0;0;0;0;Port Lincoln;South_Australia;plains;patched_state;South_Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;bihari;hindu;vegetables;0;0;58;5;2;0;12;0;8;0;Gaya;Allahabad;farmland;patched_state;Allahabad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;kru;akan;chocolate;0;0;3;0;0;0;19;0;0;0;Dabou;Ivory Coast;sparse_jungle;patched_state;Ivory Coast;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;peruvian;catholic;livestock;0;0;8;1;0;0;0;1;10;0;Chimbote;Costa de Peru;semi_arid;patched_state;Costa de Peru;;lower_strata;quechua;catholic;5;;;;;;;;;;;;;;;;;;;;;;;;
64;persian;shiite;cloth;0;0;4;1;0;0;2;0;8;0;Lar;Fars;low_mountain;patched_state;Fars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;russian;orthodox;wood;0;0;3;0;0;0;0;0;7;0;Sokol;Vologda;boreal_forest;patched_state;Vologda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;colombian;catholic;sugar;0;0;3;0;0;0;0;0;5;0;La Guajira;Magdalena;low_mountain;patched_state;Magdalena;;slaves;zambo;catholic;2;tribesmen;wayuu;muisca;5;lower_strata;wayuu;catholic;6;;;;;;;;;;;;;;;;
67;mossi;sunni;grain;0;0;3;0;0;13;22;0;0;0;Niamey;Niger;;patched_state;Niger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;north_german;catholic;cloth;0;0;16;2;2;0;0;1;20;0;Dessau;Sachsen-Anhalt;;patched_state;Sachsen-Anhalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;scottish;reformed;wood;0;0;12;1;0;0;0;0;10;0;North Ayrshire;Lowlands;;patched_state;Lowlands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;frisian;lutheran;fish;0;0;0;1;0;0;0;0;15;0;Heligoland;Heligoland;;patched_state;Heligoland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;ukrainian;catholic;mediterranean_fruit;0;0;6;2;4;0;0;0;10;0;Czap;Kaschau;farmland;patched_state;Kaschau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;belarusian;orthodox;cloth;0;2;1;0;0;0;0;0;10;0;Maryna Horka;Minsk;forest;patched_state;Minsk;;lower_strata;ashkenazi;jewish;1;lower_strata;polish;catholic;1;;;;;;;;;;;;;;;;;;;;
73;oromo;kenyan;coffee;0;0;3;0;0;8;23;0;0;0;Sidama;Abyssinia;sparse_jungle;patched_state;Abyssinia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;czech;catholic;cloth;0;0;23;11;12;0;0;4;20;1;Prag;Böhmen;;patched_state;Böhmen;;lower_strata;austrian;catholic;2;upper_strata;austrian;catholic;2;;;;;;;;;;;;;;;;;;;;
75;belarusian;orthodox;grain;0;4;3;2;1;0;0;1;10;1;Minsk;Minsk;plains;patched_state;Minsk;;lower_strata;ashkenazi;jewish;3;lower_strata;polish;catholic;2;lower_strata;russian;orthodox;1;middle_strata;russian;orthodox;1;;;;;;;;;;;;
76;comanche;waashat;livestock;0;0;0;0;0;0;0;0;0;0;Dalhart;Texas;semi_arid;patched_state;Texas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;russian;orthodox;wood;0;0;2;0;0;0;0;0;7;0;Niuksenitsa;Vologda;boreal_forest;patched_state;Vologda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;ukrainian;orthodox;cloth;0;4;3;0;0;0;0;0;10;0;Krasnoarmisk;Yekaterinoslav;farmland;patched_state;Yekaterinoslav;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;north_german;catholic;copper;0;0;15;8;12;0;0;2;20;1;Halle;Sachsen-Anhalt;;patched_state;Sachsen-Anhalt;;lower_strata;ashkenazi;jewish;2;;;;;;;;;;;;;;;;;;;;;;;;
80;castilian;catholic;mediterranean_fruit;0;0;9;2;2;0;0;0;10;0;Ronda;Seville;;patched_state;Seville;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;bashkir;orthodox;wood;0;0;3;0;0;0;0;0;0;0;Dimitrovskyi;Orenburg;plains;patched_state;Orenburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;scottish;reformed;fish;0;0;3;0;0;0;0;0;10;0;Kintyre;Highlands;;patched_state;Highlands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;occitan;catholic;mediterranean_fruit;0;0;33;2;0;0;0;2;12;0;Die;Rhône-Alpes;;patched_state;Rhône-Alpes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;castilian;catholic;mediterranean_fruit;0;0;11;1;2;0;0;1;10;0;Jumilla;Murcia;;patched_state;Murcia;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;south_german;catholic;grain;0;0;12;2;4;0;0;1;20;0;Thann;Alsace;;patched_state;Alsace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;russian;orthodox;wood;0;0;2;0;0;0;0;0;7;0;Biklyansk;Kazan;forest;patched_state;Kazan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;south_german;lutheran;grain;0;0;17;3;0;0;0;0;20;0;Luditz;Böhmen;low_mountain;patched_state;Böhmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;tamazight;sunni;cloth;0;0;0;0;0;0;2;0;0;0;Abu Nujaym;Tripolitania;extreme_desert;patched_state;Tripolitania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;cherokee;waashat;cloth;0;0;0;0;0;0;1;0;0;0;Huntington;West Virginia;;patched_state;West Virginia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;uzbek;sunni;cloth;0;0;18;3;2;0;6;2;0;0;Djizaks;Bukhara;hills;patched_state;Bukhara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;amur;siberian_shamanism;wood;0;0;0;0;0;0;1;0;0;0;Slavyanka;Primorsk;forest;patched_state;Primorsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;belarusian;orthodox;cloth;0;3;1;0;0;0;0;0;10;0;Stowbsky;Minsk;forest;patched_state;Minsk;;lower_strata;ashkenazi;jewish;2;lower_strata;polish;catholic;1;;;;;;;;;;;;;;;;;;;;
93;khmer;theravada;cloth;0;0;3;1;0;0;0;0;0;0;Mawlamyaing;Tenasserim;;patched_state;Tenasserim;;lower_strata;khmer;hindu;2;lower_strata;malayan;sunni;1;;;;;;;;;;;;;;;;;;;;
94;castilian;catholic;grain;0;0;10;2;3;0;0;0;15;0;Ecija;Seville;;patched_state;Seville;16;lower_strata;south_german;catholic;1;;;;;;;;;;;;;;;;;;;;;;;;
95;russian;orthodox;horses;0;0;3;0;0;0;0;0;7;0;Chirovo;Uralsk;plains;patched_state;Uralsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;manchu;siberian_shamanism;cloth;0;0;5;0;0;0;0;0;0;0;PROV96;Nei_Mongol;hills;patched_state;Nei_Mongol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;burmese;theravada;cloth;0;0;0;0;0;0;15;0;8;0;PROV97;Pegu;;patched_state;Pegu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;talysh;shiite;livestock;0;0;15;0;0;0;1;0;0;0;Astara;Ghilan;low_mountain;patched_state;Ghilan;;lower_strata;mazandarani;shiite;5;;;;;;;;;;;;;;;;;;;;;;;;
99;castilian;catholic;stone;0;0;11;1;2;0;0;1;10;0;Hellin;Murcia;;patched_state;Murcia;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;khmer;theravada;cloth;0;0;17;0;0;0;0;1;0;0;Kracheh;Cambodia;;patched_state;Cambodia;;lower_strata;chamic;sunni;2;;;;;;;;;;;;;;;;;;;;;;;;
101;bashkir;orthodox;wood;0;0;0;0;0;0;0;0;0;0;Verkhnie;Orenburg;forest;patched_state;Orenburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;baloch;sunni;livestock;0;0;0;0;0;0;2;0;0;0;Nok Kundi;Balochistan;desert;patched_state;Balochistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
