PROVID;CULTURE;Religion;TRADEGOOD;unused;unused2;lower_strata;middle_strata;proletariat;slaves;tribesmen;upper_strata;INDUSTRIALISATION;PROVINCE RANK;NAME;AREA;TERRAIN;;;Subcultures / religons;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size
1;;;;0;0;0;0;0;0;0;0;40;0;PROV1;spare_state;;spare_state;spare_state;"e.g. 1 baloch sunni lower strata
2 telugu shiite upper strata";;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;baloch;sunni;cloth;0;0;0;0;0;0;0;0;0;0;PROV2;state_100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;baloch;sunni;cloth;0;0;0;0;0;0;2;0;40;0;PROV3;state_100;desert;patched_state;state_100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;guarani;catimbo;livestock;0;0;0;0;0;0;1;0;40;0;Fuerte de los Sunchales;Santa Fe;;patched_state;Santa Fe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;persian;shiite;cloth;0;0;1;0;0;0;3;0;40;0;Ghom;Irak_Ajami;;patched_state;Irak_Ajami;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;telugu;hindu;grain;0;0;115;14;5;0;29;0;40;0;PROV6;Hyderbad;;patched_state;Hyderbad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;sibir;sunni;cloth;0;0;0;0;0;0;0;0;40;0;PROV7;Böhmen52;;patched_state;Böhmen52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;russian;orthodox;grain;0;0;4;1;0;0;0;0;39;0;Remda;Peterburg;;patched_state;Peterburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;polish;catholic;cloth;0;0;0;0;0;0;0;0;39;0;Grodno;Grodno;plains;patched_state;Grodno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;swedish;reformed;wood;0;0;1;0;0;0;0;0;39;0;PROV10;state_715;;patched_state;state_715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;mordvin;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV11;Kazan;;patched_state;Kazan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;norwegian;lutheran;wood;0;0;0;0;0;0;0;0;40;0;PROV12;Ostlandet;;patched_state;Ostlandet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;amur;mahayana;cloth;0;0;0;0;0;0;1;0;39;0;PROV13;Amur;;patched_state;Amur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV14;Samara;;patched_state;Samara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;estonian;lutheran;cloth;0;0;2;0;0;0;0;0;39;0;Elwa;Livland;;patched_state;Livland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;north_italian;catholic;grain;0;0;20;5;0;0;0;0;39;0;Mantua;Lombardy;plains;patched_state;Lombardy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
