ProvID,Culture,Religion,TradeGoods,Citizens,Freedmen,LowerStrata,MiddleStrata,Proletariat,Slaves,Tribesmen,UpperStrata,Civilization,SettlementRank,NameRef,AraRef,isChanged
2,0,0,0,0,0,0,0,0,0,0,0,1,1,PROV2,0,FALSE
3,baloch,sunni,cloth,0,0,0,0,0,0,2,0,40,0,PROV3,state_100,FALSE
4,guarani,catimbo,livestock,0,0,0,0,0,0,1,0,40,0,Calchaquí,Santa Fe,TRUE
5,persian,shiite,cloth,0,0,1,0,0,0,0,0,40,0,Ghom,state_395,FALSE
6,telugu,hindu,cloth,0,0,115,14,5,0,29,0,40,0,PROV6,state_410,FALSE
7,sibir,sunni,cloth,0,0,0,0,0,0,0,0,40,0,PROV7,state_252,FALSE
8,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV8,state_250,FALSE
9,lithuanian,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Grodno,state_797,FALSE
10,swedish,reformed,cloth,0,0,0,0,0,0,0,0,39,0,PROV10,state_715,FALSE
11,mordvin,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV11,state_457,FALSE
12,norwegian,protestant,cloth,0,0,0,0,0,0,0,0,40,0,PROV12,state_554,FALSE
13,amur,mahayana,cloth,0,0,0,0,0,0,1,0,39,0,PROV13,state_212,FALSE
14,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV14,state_689,FALSE
15,estonian,protestant,cloth,0,0,2,0,0,0,0,0,39,0,Elva,state_296,FALSE
16,north_italian,catholic,grain,0,0,20,5,0,0,0,0,39,0,Mantua,Lombardy,FALSE
17,czech,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Pardubitz,state_2,FALSE
18,polish,catholic,wood,0,0,0,1,1,0,0,2,40,0,Augustów,Augustowskie,TRUE
19,north_italian,catholic,grain,0,0,16,10,0,0,0,1,39,0,Chieri,Piemonte,FALSE
20,czech,catholic,cloth,0,0,0,0,0,0,0,0,39,0,PROV20,state_2,FALSE
21,libyan,sunni,cloth,0,0,9,0,0,0,4,0,39,0,PROV21,state_511,FALSE
